"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Variovorax boronicumulans","148","Variovorax boronicumulans strain J1 chromosome, complete genome"," 436515","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax boronicumulans"
"Stenotrophomonas sp. WZN-1","141","Stenotrophomonas sp. WZN-1 chromosome, complete genome","2005046","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas sp. WZN-1"
"Pseudomonas lurida","138","Pseudomonas lurida strain MYb11 chromosome, complete genome"," 244566","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas lurida"
"Moraxella osloensis","137","Moraxella osloensis strain CCUG 350, complete genome","  34062","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella osloensis"
"Modestobacter marinus","134","Modestobacter marinus str. BC501 chromosome, complete genome"," 477641","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Modestobacter","Modestobacter marinus"
"Pseudomonas sp. FDAARGOS_380","134","Pseudomonas sp. FDAARGOS_380 chromosome, complete genome","2018067","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. FDAARGOS_380"
"Sphingomonas melonis","131","Sphingomonas melonis TY chromosome, complete genome"," 621456","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas melonis"
"Agrobacterium sp. RAC06","124","Agrobacterium sp. RAC06 chromosome, complete genome","1842536","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium sp. RAC06"
"Raoultella ornithinolytica","121","Raoultella ornithinolytica B6, complete genome","1286170","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica"
"Pseudomonas sp. MYb193","116","Pseudomonas sp. MYb193 chromosome, complete genome","1827300","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. MYb193"
"Pseudomonas protegens","113","Pseudomonas protegens Pf-5, complete genome"," 220664","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas protegens"
"Pseudomonas yamanorum","112","Pseudomonas yamanorum strain LBUM636 chromosome, complete genome"," 515393","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas yamanorum"
"Delftia acidovorans","103","Delftia acidovorans SPH-1, complete genome"," 398578","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia acidovorans"
"Shigella flexneri","103","Shigella flexneri 2a str. 301, complete genome"," 198214","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri"
"Bacillus subtilis","102","Bacillus subtilis subsp. subtilis str. 168 complete genome"," 224308","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis"
"Stenotrophomonas sp. LM091","101","Stenotrophomonas sp. LM091, complete genome","1904944","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas sp. LM091"
"Elizabethkingia miricola","97","Elizabethkingia miricola strain BM10, complete genome"," 172045","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Elizabethkingia","Elizabethkingia miricola"
"Pseudomonas sp. LG1D9","93","Pseudomonas sp. LG1D9 chromosome, complete genome","2083054","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. LG1D9"
"Shigella dysenteriae","93","Shigella dysenteriae Sd197, complete genome"," 300267","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae"
"Acinetobacter baumannii","92","Acinetobacter baumannii ATCC 17978, complete genome"," 400667","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii"
"Ralstonia pickettii","91","Ralstonia pickettii 12J chromosome 1, complete sequence"," 402626","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia pickettii"
"Pseudomonas veronii","84","Pseudomonas veronii strain R02 chromosome, complete genome","  76761","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas veronii"
"Pseudomonas antarctica","82","Pseudomonas antarctica strain PAMC 27494 chromosome, complete genome"," 219572","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas antarctica"
"Haemophilus influenzae","76","Haemophilus influenzae 86-028NP, complete genome"," 281310","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus influenzae"
"Methanosarcina barkeri","75","Methanosarcina barkeri str. Fusaro, complete genome"," 269797","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri"
"Pseudonocardia sp. AL041005-10","75","Pseudonocardia sp. AL041005-10, complete genome"," 445576","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp. AL041005-10"
"Pseudomonas koreensis","74","Pseudomonas koreensis strain D26, complete genome"," 198620","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas koreensis"
"Serinicoccus sp. JLT9","74","Serinicoccus sp. JLT9, complete genome","1758689","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Serinicoccus","Serinicoccus sp. JLT9"
"Botrytis cinerea","72","Botrytis cinerea B05.10 chromosome BCIN01, complete sequence"," 332648","Eukaryota","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis cinerea"
"Ochrobactrum sp. A44","69","Ochrobactrum sp. A44 chromosome 1, complete sequence"," 271865","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","Ochrobactrum sp. A44"
"Mycoplasma mycoides","67","Mycoplasma mycoides subsp. mycoides SC str. PG1, complete genome"," 272632","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma mycoides"
"Pseudomonas orientalis","66","Pseudomonas orientalis strain F9, complete genome","  76758","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas orientalis"
"Pseudomonas sp. LH1G9","65","Pseudomonas sp. LH1G9 chromosome, complete genome","2083055","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. LH1G9"
"Pseudomonas synxantha","65","Pseudomonas synxantha strain LBUM223 chromosome, complete genome","  47883","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas synxantha"
"Elizabethkingia ursingii","64","Elizabethkingia genomosp. 4 strain G4123, complete genome","1756150","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Elizabethkingia","Elizabethkingia ursingii"
"Salmonella enterica","64","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome","  99287","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica"
"Acidovorax sp. KKS102","63","Acidovorax sp. KKS102, complete genome"," 358220","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. KKS102"
"Pseudomonas chlororaphis","63","Pseudomonas chlororaphis strain PA23, complete genome"," 587753","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas chlororaphis"
"Arthrobacter sp. LS16","62","Arthrobacter sp. LS16, complete genome","1690248","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. LS16"
"Sphingomonas sp. NIC1","60","Sphingomonas sp. NIC1, complete genome","1961362","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. NIC1"
"Janibacter indicus","59","Janibacter indicus strain YFY001, complete genome"," 857417","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","Janibacter indicus"
"Ochrobactrum pituitosum","59","Ochrobactrum pituitosum strain AA2 chromosome 1, complete sequence"," 571256","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","Ochrobactrum pituitosum"
"Candidatus Sulcia muelleri","58","Candidatus Sulcia muelleri GWSS, complete genome"," 444179","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","","Candidatus Sulcia","Candidatus Sulcia muelleri"
"Pseudomonas pseudoalcaligenes","58","Pseudomonas pseudoalcaligenes CECT 5344 complete genome","1182590","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas pseudoalcaligenes"
"Delftia tsuruhatensis","56","Delftia tsuruhatensis strain CM13, complete genome"," 180282","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia tsuruhatensis"
"Shigella sonnei","56","Shigella sonnei Ss046, complete genome"," 300269","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella sonnei"
"Candidatus Nitrosocosmicus exaquare","55","Candidatus Nitrosocosmicus exaquare strain G61 chromosome, complete genome","1826872","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrosocosmicus","Candidatus Nitrosocosmicus exaquare"
"Comamonas testosteroni","55","Comamonas testosteroni CNB-2, complete genome"," 688245","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Comamonas testosteroni"
"Micrococcus luteus","55","Micrococcus luteus NCTC 2665, complete genome"," 465515","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus luteus"
"Corynebacterium pseudotuberculosis","53","Corynebacterium pseudotuberculosis FRC41, complete genome"," 765874","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium pseudotuberculosis"
"Rhodopseudomonas palustris","53","Rhodopseudomonas palustris HaA2, complete genome"," 316058","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Rhodopseudomonas","Rhodopseudomonas palustris"
"Shigella boydii","53","Shigella boydii Sb227, complete genome"," 300268","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella boydii"
"Klebsiella pneumoniae","52","Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 DNA, complete genome"," 484021","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae"
"Elizabethkingia bruuniana","51","Elizabethkingia genomosp. 3 strain G0146, complete genome","1756149","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Elizabethkingia","Elizabethkingia bruuniana"
"Pseudomonas poae","51","Pseudomonas poae RE*1-1-14, complete genome","1282356","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas poae"
"Pseudomonas stutzeri","51","Pseudomonas stutzeri A1501, complete genome"," 379731","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas stutzeri"
"Bradyrhizobium sp. SK17","50","Bradyrhizobium sp. SK17 chromosome, complete genome","2057741","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. SK17"
"Microbacterium aurum","50","Microbacterium aurum strain KACC 15219 chromosome, complete genome","  36805","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium aurum"
"Pantoea vagans","50","Pantoea vagans C9-1, complete genome"," 712898","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea vagans"
"Sphingomonas sp. LM7","50","Sphingomonas sp. LM7 chromosome, complete genome","1938607","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. LM7"
"Delftia sp. Cs1-4","47","Delftia sp. Cs1-4, complete genome"," 742013","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia sp. Cs1-4"
"Pseudonocardia sp. HH130629-09","46","Pseudonocardia sp. HH130629-09, complete genome","1641402","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp. HH130629-09"
"Brevundimonas sp. GW460-12-10-14-LB2","44","Brevundimonas sp. GW460-12-10-14-LB2, complete genome","1827469","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas sp. GW460-12-10-14-LB2"
"Delftia sp. HK171","44","Delftia sp. HK171 chromosome, complete genome","1920191","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia sp. HK171"
"Stenotrophomonas sp. MYb57","44","Stenotrophomonas sp. MYb57 chromosome, complete genome","1827305","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas sp. MYb57"
"Bradyrhizobium diazoefficiens","43","Bradyrhizobium diazoefficiens USDA 110 DNA, complete genome"," 224911","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium diazoefficiens"
"Brucella melitensis","43","Brucella melitensis bv. 1 str. 16M chromosome I, complete sequence"," 224914","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella melitensis"
"Pseudomonas mendocina","43","Pseudomonas mendocina ymp, complete genome"," 399739","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas mendocina"
"Chryseobacterium indologenes","42","Chryseobacterium indologenes strain AA5 chromosome, complete genome","    253","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","Chryseobacterium indologenes"
"Ochrobactrum pseudogrignonense","42","Ochrobactrum pseudogrignonense strain K8 chromosome 1, complete sequence"," 419475","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","Ochrobactrum pseudogrignonense"
"Serratia sp. FS14","42","Serratia sp. FS14, complete genome","1327989","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia sp. FS14"
"Pseudomonas mosselii","41","Pseudomonas mosselii SJ10, complete genome","1388763","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas mosselii"
"","40","Methanobacterium sp. MO-MB1, complete genome"," 913102","","","","","","",""
"Aeromonas hydrophila","40","Aeromonas hydrophila subsp. hydrophila ATCC 7966, complete genome"," 380703","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas hydrophila"
"Dietzia sp. oral taxon 368","40","Dietzia sp. oral taxon 368 strain W5195 chromosome, complete genome"," 712270","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","Dietzia sp. oral taxon 368"
"Kluyveromyces marxianus","40","Kluyveromyces marxianus DNA, chromosome 1, complete genome, strain: NBRC 1777","   4911","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kluyveromyces","Kluyveromyces marxianus"
"Acinetobacter haemolyticus","39","Acinetobacter haemolyticus strain TJS01, complete genome","  29430","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter haemolyticus"
"Bradyrhizobium japonicum","39","Bradyrhizobium japonicum USDA 6 DNA, complete genome","1037409","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"Macaca mulatta polyomavirus 1","39","Simian virus 40 complete genome","1891767","Viruses","","","","Polyomaviridae","Betapolyomavirus","Macaca mulatta polyomavirus 1"
"Achromobacter denitrificans","38","Achromobacter denitrificans strain USDA-ARS-USMARC-56712, complete genome","  32002","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter denitrificans"
"Agrobacterium tumefaciens","38","Agrobacterium radiobacter K84 chromosome 1, complete sequence"," 311403","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens"
"Corynebacterium marinum","38","Corynebacterium marinum DSM 44953, complete genome","1224162","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium marinum"
"Microbacterium hominis","38","Microbacterium hominis strain SJTG1 chromosome, complete genome"," 162426","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium hominis"
"Acinetobacter pittii","37","Acinetobacter pittii PHEA-2 chromosome, complete genome"," 871585","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter pittii"
"Prevotella intermedia","37","Prevotella intermedia 17 chromosome I, complete sequence"," 246198","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella intermedia"
"Saccharomycopsis fibuligera","37","Saccharomycopsis fibuligera strain KPH12 chromosome 1, complete sequence","   4944","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycopsidaceae","Saccharomycopsis","Saccharomycopsis fibuligera"
"Herbaspirillum seropedicae","36","Herbaspirillum seropedicae SmR1, complete genome"," 757424","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Herbaspirillum seropedicae"
"Sphingomonas hengshuiensis","36","Sphingomonas hengshuiensis strain WHSC-8, complete genome","1609977","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas hengshuiensis"
"Alicycliphilus denitrificans","35","Alicycliphilus denitrificans BC, complete genome"," 596153","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Alicycliphilus","Alicycliphilus denitrificans"
"Bosea sp. RAC05","35","Bosea sp. RAC05 chromosome, complete genome","1842539","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea sp. RAC05"
"Nocardioides sp. JS614","35","Nocardioides sp. JS614, complete genome"," 196162","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. JS614"
"Xanthomonas citri","35","Xanthomonas axonopodis pv. citri str. 306, complete genome"," 190486","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas citri"
"Asticcacaulis excentricus","34","Asticcacaulis excentricus CB 48 chromosome 1, complete sequence"," 573065","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","Asticcacaulis excentricus"
"Cutibacterium granulosum","32","Cutibacterium granulosum strain NCTC11865 genome assembly, chromosome: 1","  33011","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium granulosum"
"Gordonia bronchialis","32","Gordonia bronchialis DSM 43247, complete genome"," 526226","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Gordoniaceae","Gordonia","Gordonia bronchialis"
"Human betaherpesvirus 5","32","Human herpesvirus 5 strain Merlin, complete genome","  10359","Viruses","","","Herpesvirales","Herpesviridae","Cytomegalovirus","Human betaherpesvirus 5"
